model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
TingTing0104/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.935,text-classification,2e-05,64,2.0,,2023-12-17T05:17:24.000Z,,3,finetune
ryli/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.936,text-classification,2e-05,64,2.0,,2023-12-20T18:23:13.000Z,,3,finetune
cheonboy/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2023-12-21T08:32:27.000Z,,3,finetune
kbrink/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.933,text-classification,2e-05,64,2.0,,2023-12-29T20:47:35.000Z,,3,finetune
sushistarlord/distilbert-base-uncased-finetuned-emotion-sushant,distilbert-base-uncased,emotion,0.9135,text-classification,2e-05,256,4.0,,2023-12-27T15:57:30.000Z,,3,finetune
nahuellopez/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2023-12-28T18:05:50.000Z,,3,finetune
hassansh/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2023-12-28T06:05:31.000Z,,3,finetune
kulbinderdio/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.928,text-classification,2e-05,64,2.0,,2023-12-28T07:31:13.000Z,,3,finetune
nedahp/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2023-12-28T18:19:47.000Z,,3,finetune
coldn00dl3s/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.934,text-classification,2e-05,64,2.0,,2023-12-30T10:27:14.000Z,,3,finetune
rogerpolo/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9265,text-classification,2e-05,64,2.0,,2024-01-03T14:17:23.000Z,,3,finetune
davepower/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2024-01-03T15:54:08.000Z,,3,finetune
uhmseohun/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,60,2.0,,2024-01-08T05:58:08.000Z,,3,finetune
Mustafa-AbdulRazek/distilbert-base-uncased-fine-tuned-emotions,distilbert-base-uncased,emotion,,text-classification,2e-05,64,10.0,,2024-01-08T10:42:42.000Z,,3,finetune
kevin-allen/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,0.9325,text-classification,2e-05,64,2.0,,2024-01-08T13:47:40.000Z,,3,finetune
frktsc/emotion,distilbert-base-uncased,emotion,,text-classification,5e-05,32,2.0,,2024-01-08T16:32:07.000Z,,3,finetune
lsh231/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2024-01-12T06:18:20.000Z,,3,finetune
elshehawy/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9315,text-classification,2e-05,64,3.0,,2024-01-22T18:58:01.000Z,,3,finetune
vroomhf/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2024-05-20T13:40:43.000Z,,3,finetune
natutaro/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2024-01-24T08:36:25.000Z,,3,finetune
ZappY-AI/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,2e-05,64,2.0,,2024-02-12T07:07:19.000Z,,3,finetune
Schnatz65/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2024-02-22T14:15:15.000Z,,3,finetune
omerfguzel/emotion_xlnet,xlnet-base-cased,emotion,0.9155,text-classification,2e-05,64,3.0,,2024-02-21T13:40:53.000Z,,3,finetune
xlnet-base-cased,,emotion,0.9155,text-classification,2e-05,64,3.0,,2024-02-21T13:40:53.000Z,,,lineage
ceofast/distilbert-emotion,distilbert-base-uncased,emotion,0.929,text-classification,5e-05,64,2.0,,2024-02-25T17:44:18.000Z,,3,finetune
ultimecia/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9385,text-classification,2e-05,256,20.0,,2024-02-27T01:06:41.000Z,,3,finetune
evannaderi/roberta-base-finetuned-emotion,roberta-base,emotion,0.9185,text-classification,2e-05,64,2.0,,2024-02-27T19:14:48.000Z,,3,finetune
JayShah07/Tweet-finetuned-emotion-classification,distilbert-base-uncased,emotion,0.9395,text-classification,2e-05,64,10.0,,2024-03-02T10:16:15.000Z,,3,finetune
MemorialStar/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.931,text-classification,2e-05,64,2.0,,2024-03-02T10:47:06.000Z,,3,finetune
imsarfaroz/fine-tuned-albert-emotion,albert-base-v2,emotion,0.9305,text-classification,2e-05,16,2.0,,2024-03-07T23:19:19.000Z,,3,finetune
mwarchalowski/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.94,text-classification,2e-05,64,4.0,,2024-03-10T04:24:42.000Z,,3,finetune
Rahul13/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.938,text-classification,2e-05,64,8.0,,2024-03-19T10:00:41.000Z,,3,finetune
0xcynyx/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9205,text-classification,2e-05,64,2.0,,2024-03-21T07:59:58.000Z,,3,finetune
DeekshithaKumariPrabhakar/finetuning-emotion-model,distilbert-base-uncased,emotion,0.943,text-classification,2e-05,64,10.0,,2024-03-21T16:57:15.000Z,,3,finetune
0xcynyx/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,0.9275,text-classification,2e-05,64,2.0,,2024-03-22T09:34:39.000Z,,3,finetune
anishhguptaa/bert-base-uncased-emotions,bert-base-uncased,emotion,0.938,text-classification,1e-05,64,12.0,,2024-03-29T10:42:05.000Z,,3,finetune
SORABE/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.934,text-classification,2e-05,64,2.0,,2024-04-04T09:03:00.000Z,,3,finetune
fyl1/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9285,text-classification,2e-05,64,2.0,,2024-04-07T08:28:09.000Z,,3,finetune
2hab/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.929,text-classification,2e-05,64,2.0,,2024-04-08T08:00:27.000Z,,3,finetune
taoyoung/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2024-04-15T07:25:11.000Z,,3,finetune
Laddoo/roberta-base-go_emotions,distilbert-base-uncased,emotion,0.9375,text-classification,5e-05,64,2.0,,2024-04-24T21:10:14.000Z,,3,finetune
MasonSchmit/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9335,text-classification,2e-05,64,2.0,,2024-05-06T03:03:14.000Z,,3,finetune
DeeOrion/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2024-05-06T01:33:43.000Z,,3,finetune
placeo/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2024-05-07T07:29:49.000Z,,3,finetune
jachs182/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2024-05-12T04:22:58.000Z,,3,finetune
ucuncubayram/distilbert-emotion,distilbert-base-uncased,emotion,0.932,text-classification,5e-05,128,2.0,,2024-05-12T11:53:33.000Z,,3,finetune
robercg33/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.921,text-classification,2e-05,64,2.0,,2024-05-12T18:15:32.000Z,,3,finetune
ademakyol/distilbert-emotion,distilbert-base-uncased,emotion,0.935,text-classification,5e-05,128,2.0,,2024-05-12T22:29:51.000Z,,3,finetune
TCurran4589/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9275,text-classification,2e-05,64,2.0,,2024-05-15T04:36:15.000Z,,3,finetune
pjchardt/emotion-endpoint-test,distilbert-base-uncased,emotion,,text-classification,,,,,2024-05-15T19:35:43.000Z,,3,finetune
forwarder1121/results,distilbert-base-uncased,emotion,,text-classification,2e-05,16,3.0,,2024-05-28T06:00:25.000Z,,3,finetune
jpgacrama/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9355,text-classification,2e-05,64,2.0,,2024-05-29T06:07:26.000Z,,3,finetune
siddharthsingh5010/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,0.8945,text-classification,2e-05,128,2.0,,2024-05-28T20:49:10.000Z,,3,finetune
uaevuon/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9225,text-classification,2e-05,64,2.0,,2024-05-29T04:50:59.000Z,,3,finetune
Saranghae/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2024-05-30T12:28:32.000Z,,3,finetune
jelacicedin/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2024-06-07T13:02:39.000Z,,3,finetune
hyungyuseo/results,distilbert-base-uncased,emotion,,text-classification,2e-05,16,1.0,,2024-06-01T08:25:41.000Z,,3,finetune
hcy5561/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9275,text-classification,2e-05,64,2.0,,2024-06-23T10:24:12.000Z,,3,finetune
aftabnaveed/all-MiniLM-L6-v2-finetuned-emotion,bert-base-uncased,emotion,0.739,text-classification,2e-05,64,2.0,,2024-06-13T15:04:01.000Z,,3,finetune
hyeming00/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2024-06-19T05:43:12.000Z,,3,finetune
Ashkanero/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2024-06-20T22:33:26.000Z,,3,finetune
yashcfc/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2024-06-21T05:48:28.000Z,,3,finetune
jinesh90/emotion_distilbert_finetuned_emotion_classifier_jinesh,distilbert-base-uncased,emotion,0.9265,text-classification,2e-05,64,2.0,,2024-06-24T02:13:42.000Z,,3,finetune
erik-engelhardt/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.92,text-classification,2e-05,64,2.0,,2024-06-26T16:05:35.000Z,,3,finetune
5to9/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9295,text-classification,2e-05,64,2.0,,2024-07-09T10:03:47.000Z,,3,finetune
JakeClark/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,,text-classification,2e-05,64,30.0,,2024-07-19T04:30:37.000Z,,3,finetune
DanielGM/distilbert-emotion,distilbert-base-uncased,emotion,0.94,text-classification,5e-05,64,2.0,,2024-07-16T01:16:07.000Z,,3,finetune
Eze-Mz/robertuito-emotion-analysis-finetuned-emotion,roberta-base,emotion,0.8655,text-classification,2e-05,64,2.0,,2024-07-26T04:23:56.000Z,,3,finetune
JJWariror/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2024-07-31T19:35:31.000Z,,3,finetune
Bowenroom/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2024-08-04T14:33:51.000Z,,3,finetune
agoor97/distilbert-base-uncased-finetuned-emotions-DEPI,distilbert-base-uncased,emotion,0.9395,text-classification,2e-05,32,10.0,,2024-08-15T18:25:34.000Z,,3,finetune
duyb2207513/distilbert-emotion,distilbert-base-uncased,emotion,,text-classification,,,,,2026-05-07T07:01:24.000Z,,3,finetune
lewtun/distilbert-base-uncased-finetuned-emotion-test-01,distilbert-base-uncased,emotion,0.39,text-classification,2e-05,64,2.0,,2022-01-14T10:29:26.000Z,,2,finetune
marcelcastrobr/sagemaker-distilbert-emotion-2,distilbert-base-uncased,emotion,0.9315,text-classification,3e-05,32,3.0,,2021-11-19T13:19:22.000Z,,2,finetune
marcelcastrobr/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.928,text-classification,3e-05,32,3.0,,2021-11-19T12:56:45.000Z,,2,finetune
milyiyo/minilm-finetuned-emotion,bert-base-uncased,emotion,,text-classification,,,,,2022-01-16T00:37:00.000Z,,2,finetune
osanseviero/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9225,text-classification,2e-05,64,2.0,,2023-04-04T05:56:42.000Z,,2,finetune
visolex/phobert-v2-hsd,roberta-base,visolex/vihsd,,text-classification,,,,,2026-01-05T15:52:38.000Z,,24,finetune
roberta-base,,visolex/vihsd,,text-classification,,,,,2026-01-05T15:52:38.000Z,,,lineage
visolex/visobert-hsd,bert-base-uncased,visolex/vihsd,,text-classification,,,,,2026-01-05T15:54:00.000Z,,23,finetune
bert-base-uncased,,visolex/vihsd,,text-classification,,,,,2026-01-05T15:54:00.000Z,,,lineage
visolex/bartpho-hsd,,visolex/vihsd,,text-classification,,,,,2026-01-05T15:53:20.000Z,,11,finetune
visolex/sphobert-hsd,roberta-base,visolex/vihsd,,text-classification,,,,,2026-01-05T15:57:42.000Z,,6,finetune
visolex/xlm-r-hsd,roberta-base,visolex/vihsd,,text-classification,,,,,2026-01-05T15:55:38.000Z,,3,finetune
visolex/vihate-t5-hsd,,visolex/vihsd,,text-classification,,,,,2026-01-05T15:54:47.000Z,,3,finetune
visolex/mbert-hsd,bert-base-uncased,visolex/vihsd,,text-classification,,,,,2026-01-05T15:56:59.000Z,,3,finetune
visolex/roberta-gru-hsd,roberta-base,visolex/vihsd,,text-classification,,,,,2026-01-05T15:56:21.000Z,,3,finetune
visolex/textcnn-hsd,bert-base-uncased,visolex/vihsd,,text-classification,,,,,2026-01-05T15:58:21.000Z,,1,finetune
visolex/bilstm-hsd,bert-base-uncased,visolex/vihsd,,text-classification,,,,,2026-01-05T15:58:01.000Z,,1,finetune
visolex/phobert-v1-hsd,roberta-base,visolex/vihsd,,text-classification,,,,,2026-01-05T15:51:56.000Z,,1,finetune
cardiffnlp/twitter-roberta-base-sentiment-latest,roberta-base,tweet_eval,,text-classification,,,,,2025-08-04T07:58:29.000Z,,2373604,finetune
roberta-base,,tweet_eval,,text-classification,,,,,2025-08-04T07:58:29.000Z,,,lineage
cardiffnlp/twitter-roberta-base-sentiment,roberta-base,tweet_eval,,text-classification,,,,,2023-01-20T09:52:13.000Z,,592934,finetune
cardiffnlp/twitter-roberta-base-irony,roberta-base,tweet_eval,,text-classification,,,,,2023-08-02T00:36:09.000Z,,23995,finetune
bardsai/twitter-sentiment-pl-base,bert-base-uncased,tweet_eval,,text-classification,,,,,2026-05-25T12:36:11.000Z,,1033,finetune
bert-base-uncased,,tweet_eval,,text-classification,,,,,2026-05-25T12:36:11.000Z,,,lineage
cardiffnlp/roberta-base-sentiment,roberta-base,tweet_eval,0.7086453923803321,text-classification,,,,,2022-12-02T17:54:41.000Z,,66,finetune
bardsai/twitter-sentiment-pl-fast,distilbert-base-uncased,tweet_eval,,text-classification,,,,,2026-05-25T15:12:35.000Z,,54,finetune
distilbert-base-uncased,,tweet_eval,,text-classification,,,,,2026-05-25T15:12:35.000Z,,,lineage
bardsai/twitter-emotion-pl-fast,distilbert-base-uncased,tweet_eval,,text-classification,,,,,2026-05-25T15:12:25.000Z,,53,finetune
bardsai/twitter-emotion-pl-base,bert-base-uncased,tweet_eval,,text-classification,,,,,2026-05-25T15:12:22.000Z,,45,finetune
Kapiche/twitter-roberta-base-sentiment,roberta-base,tweet_eval,,text-classification,,,,,2024-01-28T08:01:42.000Z,,31,finetune
wesleyacheng/twitter-emotion-classification-with-bert,distilbert-base-uncased,tweet_eval,,text-classification,,,,,2023-06-08T00:04:58.000Z,,29,finetune
austinmw/distilbert-base-uncased-finetuned-tweets-sentiment,distilbert-base-uncased,tweet_eval,0.7295,text-classification,2e-05,64,10.0,,2022-06-29T22:18:47.000Z,,27,finetune
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,roberta-base,tweet_eval,0.7133669814392706,text-classification,,,,,2022-12-02T17:52:49.000Z,,27,finetune
Kapiche/twitter-roberta-base-sentiment-latest,roberta-base,tweet_eval,,text-classification,,,,,2023-09-04T22:49:50.000Z,,27,finetune
charlieoneill/distilbert-base-uncased-finetuned-tweet_eval-offensive,distilbert-base-uncased,tweet_eval,0.8089,text-classification,2e-05,64,2.0,,2022-05-01T03:36:21.000Z,,20,finetune
AK776161/birdseye_roberta-base-tweet-eval,roberta-base,tweet_eval,,text-classification,,,,,2023-05-11T20:55:17.000Z,,18,finetune
KoalaAI/OffensiveSpeechDetector,microsoft/deberta-base,tweet_eval,0.747,text-classification,,,,,2023-08-21T16:09:01.000Z,,14,finetune
microsoft/deberta-base,,tweet_eval,0.747,text-classification,,,,,2023-08-21T16:09:01.000Z,,,lineage
aXhyra/hate_trained_42,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-12T12:46:30.000Z,,13,finetune
KoalaAI/HateSpeechDetector,microsoft/deberta-base,tweet_eval,0.763,text-classification,,,,,2023-08-21T16:11:54.000Z,,13,finetune
adorkin/xlm-roberta-en-ru-emoji,xlm-roberta-base,tweet_eval,,text-classification,,,,,2023-03-23T18:42:15.000Z,,12,finetune
xlm-roberta-base,,tweet_eval,,text-classification,,,,,2023-03-23T18:42:15.000Z,,,lineage
aXhyra/hate_trained_final,distilbert-base-uncased,tweet_eval,,text-classification,5.460503761236833e-06,8,4.0,,2021-12-12T11:25:23.000Z,,10,finetune
aXhyra/presentation_hate_31415,distilbert-base-uncased,tweet_eval,,text-classification,5.436235805743952e-05,32,4.0,,2021-12-15T11:24:57.000Z,,9,finetune
aXhyra/test_hate_trained_test,distilbert-base-uncased,tweet_eval,,text-classification,5.257754679724796e-05,8,4.0,,2021-12-12T18:11:11.000Z,,9,finetune
cardiffnlp/twitter-roberta-base-2021-124m-hate,roberta-base,tweet_eval,0.5606060606060606,text-classification,,,,,2022-12-02T17:53:08.000Z,,9,finetune
aXhyra/presentation_hate_42,distilbert-base-uncased,tweet_eval,,text-classification,5.436235805743952e-05,32,4.0,,2021-12-15T11:18:17.000Z,,8,finetune
aXhyra/presentation_irony_42,distilbert-base-uncased,tweet_eval,,text-classification,5.1637764704815665e-05,32,4.0,,2021-12-15T10:10:19.000Z,,8,finetune
cardiffnlp/twitter-roberta-base-2021-124m-irony,roberta-base,tweet_eval,0.7857142857142857,text-classification,,,,,2022-12-02T17:51:32.000Z,,8,finetune
cardiffnlp/roberta-base-emotion,roberta-base,tweet_eval,0.8198451794510908,text-classification,,,,,2022-12-02T17:54:24.000Z,,8,finetune
aXhyra/demo_hate_1234567,distilbert-base-uncased,tweet_eval,,text-classification,7.320702985778492e-05,32,4.0,,2021-12-13T19:21:09.000Z,,7,finetune
aXhyra/demo_hate_31415,distilbert-base-uncased,tweet_eval,,text-classification,7.320702985778492e-05,32,4.0,,2021-12-13T19:15:19.000Z,,7,finetune
aXhyra/hate_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-12T13:02:26.000Z,,7,finetune
aXhyra/hate_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-12T12:57:50.000Z,,7,finetune
deepgai/tweet_eval-sentiment-finetuned,microsoft/deberta-v2-xlarge,tweet_eval,0.744,text-classification,3e-05,128,4.0,,2022-05-09T10:46:47.000Z,,7,finetune
microsoft/deberta-v2-xlarge,,tweet_eval,0.744,text-classification,3e-05,128,4.0,,2022-05-09T10:46:47.000Z,,,lineage
schoenml/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-05-23T15:19:45.000Z,,7,finetune
cardiffnlp/twitter-roberta-base-2021-124m-emotion,roberta-base,tweet_eval,0.8318085855031668,text-classification,,,,,2022-12-02T17:52:26.000Z,,7,finetune
cardiffnlp/roberta-base-offensive,roberta-base,tweet_eval,0.8441860465116279,text-classification,,,,,2022-12-02T17:53:44.000Z,,7,finetune
aXhyra/demo_hate_42,distilbert-base-uncased,tweet_eval,,text-classification,7.320702985778492e-05,32,4.0,,2021-12-13T19:09:34.000Z,,6,finetune
aXhyra/irony_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,2.6774391860025942e-05,4,4.0,,2021-12-12T12:17:08.000Z,,6,finetune
aXhyra/presentation_emotion_42,distilbert-base-uncased,tweet_eval,,text-classification,5.18796906442746e-05,8,4.0,,2021-12-15T10:36:30.000Z,,6,finetune
aXhyra/sentiment_trained,distilbert-base-uncased,tweet_eval,,text-classification,1.2140338797769864e-05,4,4.0,,2021-12-11T15:01:36.000Z,,6,finetune
elozano/tweet_emotion_eval,roberta-base,tweet_eval,,text-classification,,,,,2022-02-07T18:04:47.000Z,,6,finetune
elozano/tweet_offensive_eval,roberta-base,tweet_eval,,text-classification,,,,,2022-02-07T17:59:03.000Z,,6,finetune
elozano/tweet_sentiment_eval,roberta-base,tweet_eval,,text-classification,,,,,2022-02-07T17:50:59.000Z,,6,finetune
umangchaudhry/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-05-20T16:56:12.000Z,,6,finetune
cardiffnlp/twitter-roberta-base-dec2021-offensive,roberta-base,tweet_eval,0.8627906976744186,text-classification,,,,,2022-12-02T17:49:58.000Z,,6,finetune
TransferGraph/fabriceyhc_bert-base-uncased-imdb-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.5775,text-classification,0.0004,32,4.0,,2024-02-29T12:52:12.000Z,,6,finetune
aXhyra/demo_emotion_42,distilbert-base-uncased,tweet_eval,,text-classification,7.551070618629693e-05,16,4.0,,2021-12-13T18:13:57.000Z,,5,finetune
aXhyra/emotion_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-12T13:19:19.000Z,,5,finetune
aXhyra/emotion_trained_42,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-12T13:11:11.000Z,,5,finetune
aXhyra/presentation_emotion_31415,distilbert-base-uncased,tweet_eval,,text-classification,5.18796906442746e-05,8,4.0,,2021-12-15T10:41:54.000Z,,5,finetune
aXhyra/presentation_hate_1234567,distilbert-base-uncased,tweet_eval,,text-classification,5.436235805743952e-05,32,4.0,,2021-12-15T11:31:02.000Z,,5,finetune
aXhyra/presentation_irony_1234567,distilbert-base-uncased,tweet_eval,,text-classification,5.1637764704815665e-05,32,4.0,,2021-12-15T10:18:37.000Z,,5,finetune
aXhyra/presentation_sentiment_42,distilbert-base-uncased,tweet_eval,,text-classification,6.923967812567773e-06,16,4.0,,2021-12-15T13:28:22.000Z,,5,finetune
aXhyra/sentiment_trained_42,distilbert-base-uncased,tweet_eval,,text-classification,1.2140338797769864e-05,4,4.0,,2021-12-11T21:29:18.000Z,,5,finetune
marcolatella/emotion_trained,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-10T23:23:20.000Z,,5,finetune
marcolatella/irony_trained,distilbert-base-uncased,tweet_eval,,text-classification,2.6375567293432486e-05,4,4.0,,2021-12-10T23:03:44.000Z,,5,finetune
philschmid/DistilBERT-tweet-eval-emotion,distilbert-base-uncased,tweet_eval,0.8057705840957072,text-classification,,,,,2021-10-07T13:19:01.000Z,,5,finetune
cardiffnlp/twitter-roberta-base-2021-124m-offensive,roberta-base,tweet_eval,0.858139534883721,text-classification,,,,,2022-12-02T17:51:50.000Z,,5,finetune
muhtasham/medium-mlm-tweet-target-tweet,bert-base-uncased,tweet_eval,0.7594,text-classification,3e-05,32,200.0,,2022-12-11T07:30:40.000Z,,5,finetune
Timothy1337/finetuning-sentiment-all_df,distilbert-base-uncased,tweet_eval,0.7683,text-classification,2e-05,16,2.0,,2023-02-06T04:31:33.000Z,,5,finetune
cnicu/tweet_emotions_classifier,distilbert-base-uncased,tweet_eval,0.7914,text-classification,2e-05,8,2.0,,2023-03-29T09:06:09.000Z,,5,finetune
TransferGraph/Anthos23_FS-distilroberta-fine-tuned-finetuned-lora-tweet_eval_irony,,tweet_eval,0.7037,text-classification,0.0005,32,8.0,,2024-02-29T13:28:48.000Z,,5,finetune
TransferGraph/bert-large-uncased-finetuned-lora-tweet_eval_hate,,tweet_eval,0.754,text-classification,0.0004,32,4.0,,2024-02-29T13:52:15.000Z,,5,finetune
aXhyra/demo_emotion_1234567,distilbert-base-uncased,tweet_eval,,text-classification,7.551070618629693e-05,16,4.0,,2021-12-13T18:21:16.000Z,,4,finetune
aXhyra/demo_irony_1234567,distilbert-base-uncased,tweet_eval,,text-classification,2.7735294032820418e-05,8,4.0,,2021-12-13T17:57:42.000Z,,4,finetune
aXhyra/demo_irony_42,distilbert-base-uncased,tweet_eval,,text-classification,2.7735294032820418e-05,8,4.0,,2021-12-13T17:51:38.000Z,,4,finetune
aXhyra/demo_sentiment_31415,distilbert-base-uncased,tweet_eval,,text-classification,8.62486660723695e-06,64,4.0,,2021-12-13T22:54:14.000Z,,4,finetune
aXhyra/demo_sentiment_42,distilbert-base-uncased,tweet_eval,,text-classification,8.62486660723695e-06,64,4.0,,2021-12-13T22:41:49.000Z,,4,finetune
aXhyra/irony_trained_42,distilbert-base-uncased,tweet_eval,,text-classification,2.6774391860025942e-05,4,4.0,,2021-12-12T12:10:39.000Z,,4,finetune
aXhyra/irony_trained_final,distilbert-base-uncased,tweet_eval,,text-classification,4.842398023893579e-05,4,4.0,,2021-12-12T10:28:16.000Z,,4,finetune
aXhyra/presentation_irony_31415,distilbert-base-uncased,tweet_eval,,text-classification,5.1637764704815665e-05,32,4.0,,2021-12-15T10:14:53.000Z,,4,finetune
aXhyra/presentation_sentiment_31415,distilbert-base-uncased,tweet_eval,,text-classification,7.2792011721188e-06,4,4.0,,2021-12-14T22:46:29.000Z,,4,finetune
aXhyra/sentiment_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,1.2140338797769864e-05,4,4.0,,2021-12-11T22:29:06.000Z,,4,finetune
aXhyra/test_irony_trained_test,distilbert-base-uncased,tweet_eval,,text-classification,9.207906329883037e-05,8,4.0,,2021-12-12T17:02:51.000Z,,4,finetune
marcolatella/hate_trained,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-11T00:02:24.000Z,,4,finetune
apetulante/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T02:51:02.000Z,,4,finetune
coreybrady/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-05-23T15:16:26.000Z,,4,finetune
cardiffnlp/twitter-roberta-base-dec2021-irony,roberta-base,tweet_eval,0.7831632653061225,text-classification,,,,,2022-12-02T17:49:35.000Z,,4,finetune
cardiffnlp/twitter-roberta-base-dec2021-hate,roberta-base,tweet_eval,0.5666666666666667,text-classification,,,,,2022-12-02T17:51:14.000Z,,4,finetune
muhtasham/medium-mlm-imdb-target-tweet,bert-base-uncased,tweet_eval,0.762,text-classification,3e-05,32,200.0,,2022-12-11T07:10:48.000Z,,4,finetune
